date,gold_price_eur
2012-03-07,1282.674627421
2012-03-08,1292.3219589934
2012-03-09,1288.8209987003
2012-03-12,1294.6204208366
2012-03-13,1286.195733383
2012-03-14,1255.6912883207
2012-03-15,1274.0228798941
2012-03-16,1265.7952132658
2012-03-19,1264.9936967304
2012-03-20,1244.7405214323
2012-03-21,1246.4430786593
2012-03-22,1242.4000458845
2012-03-23,1258.8598935776
2012-03-26,1268.9117390545
2012-03-27,1261.0728497019
2012-03-28,1243.8560288563
2012-03-29,1239.8108005574
2012-03-30,1253.8113006036
2012-04-02,1255.7765028742
2012-04-03,1252.4999626726
2012-04-04,1219.1083926778
2012-04-05,1238.962772115
2012-04-09,1255.822676959
2012-04-10,1265.7006781246
2012-04-11,1268.9691277435
2012-04-12,1280.1149301236
2012-04-13,1257.9295959109
2012-04-16,1262.7393184185
2012-04-17,1257.1985874484
2012-04-18,1247.6184961803
2012-04-19,1250.4653308174
2012-04-20,1249.1454753282
2012-04-23,1235.8379538709
2012-04-24,1249.2385544182
2012-04-25,1243.6887863561
2012-04-26,1254.1597317658
2012-04-27,1261.4783280282
2012-04-30,1256.1997674426
2012-05-01,1255.0819689608
2012-05-02,1248.8130343014
2012-05-03,1242.9724886401
2012-05-04,1250.1364300542
2012-05-07,1263.3442111514
2012-05-08,1228.0224001171
2012-05-09,1226.3521032897
2012-05-10,1233.0123406575
2012-05-11,1224.2811211017
2012-05-14,1209.7770731539
2012-05-15,1213.2142665106
2012-05-16,1206.2241965411
2012-05-17,1236.7697180804
2012-05-18,1253.3850554815
2012-05-21,1243.5583334399
2012-05-22,1230.4598422591
2012-05-23,1222.379776861
2012-05-24,1239.7666278705
2012-05-25,1251.4317372186
2012-05-29,1236.4021672114
2012-05-30,1252.9087767575
2012-05-31,1262.7370231708
2012-06-01,1310.822502801
2012-06-04,1299.9168006398
2012-06-05,1291.1907453197
2012-06-06,1310.1587353149
2012-06-07,1261.8229487905
2012-06-08,1264.9245369118
2012-06-11,1261.7214136571
2012-06-12,1292.4177379727
2012-06-13,1293.9946288228
2012-06-14,1287.1135273871
2012-06-15,1288.4212111472
2012-06-18,1279.5884347097
2012-06-19,1287.7023651123
2012-06-20,1273.4313335042
2012-06-21,1233.7647145311
2012-06-22,1247.6321906152
2012-06-25,1266.1899922718
2012-06-26,1258.7278762114
2012-06-27,1263.2620862594
2012-06-28,1242.3944519653
2012-06-29,1288.8933131523
2012-07-02,1262.0914221617
2012-07-03,1288.6092008955
2012-07-05,1285.4466694795
2012-07-06,1273.7687525866
2012-07-09,1294.5500727897
2012-07-10,1282.0758029613
2012-07-11,1285.2057452009
2012-07-12,1277.7564913095
2012-07-13,1305.3666418525
2012-07-16,1299.0556450922
2012-07-17,1295.2753637271
2012-07-18,1277.2063413024
